Rating,Problem Name,Tags,ContestID,Index
3100,Paper Cutting Again,combinatorics;probabilities,1924,E
2700,Balanced Subsequences,combinatorics;dp;math,1924,D
2400,Fractal Origami,geometry;math;matrices,1924,C
2100,Space Harbour,data structures;implementation;math;sortings,1924,B
1500,Did We Get Everything Covered?,constructive algorithms;dp;greedy;shortest paths;strings,1924,A
2800,Shrink-Reverse,binary search;brute force;greedy;hashing;implementation;string suffix structures;strings,1923,F
2000,Count Paths,data structures;dfs and similar;dp;dsu;graphs;trees,1923,E
1800,Slimes,binary search;constructive algorithms;data structures;greedy;two pointers,1923,D
1400,Find B,constructive algorithms;greedy,1923,C
1100,Monsters Attack!,dp;greedy;implementation,1923,B
800,Moving Chips,greedy;implementation,1923,A
2500,Replace on Segment,dp;graph matchings,1922,F
1800,Increasing Subsequences,bitmasks;constructive algorithms;divide and conquer;greedy;math,1922,E
1900,Berserk Monsters,brute force;data structures;dsu;implementation;math,1922,D
1300,Closest Cities,greedy;implementation;math,1922,C
1200,Forming Triangles,combinatorics;constructive algorithms;math;sortings,1922,B
800,Tricky Template,constructive algorithms;implementation;strings,1922,A
2200,Mischievous Shooter,brute force;data structures;divide and conquer;dp;implementation,1921,G
1900,Sum of Progression,brute force;data structures;dp;implementation;math,1921,F
1600,Eat the Chip,brute force;games;greedy;math,1921,E
1100,Very Different Array,data structures;greedy;sortings;two pointers,1921,D
900,Sending Messages,greedy;math,1921,C
800,Arranging Cats,greedy;implementation,1921,B
800,Square,greedy;math,1921,A
3000,Smooth Sailing (Hard Version),binary search;data structures;dsu;geometry;graphs;trees,1920,F2
2500,Smooth Sailing (Easy Version),binary search;brute force;data structures;dfs and similar;dsu;graphs;shortest paths,1920,F1
2100,Counting Binary Strings,combinatorics;dp;math,1920,E
1900,Array Repetition,binary search;brute force;dsu;implementation;math,1920,D
1600,Partitioning the Array,brute force;math;number theory,1920,C
1100,Summation Game,games;greedy;math;sortings,1920,B
800,Satisfying Constraints,brute force;greedy;math,1920,A
2000,Tree Diameter,interactive;trees,1919,H
3500,Tree LGM,constructive algorithms;divide and conquer;games;trees,1919,G
2800,Wine Factory (Hard Version),data structures;dp;flows;greedy;matrices,1919,F2
2300,Wine Factory (Easy Version),data structures;greedy,1919,F1
2600,Counting Prefixes,combinatorics;constructive algorithms;dp;implementation;math,1919,E
2100,01 Tree,constructive algorithms;data structures;dsu;greedy;sortings;trees,1919,D
1400,Grouping Increases,data structures;dp;greedy,1919,C
800,Plus-Minus Split,greedy,1919,B
800,Wallet Exchange,games;math,1919,A
2700,Permutation of Given,constructive algorithms;math,1918,G
2500,Caterpillar on a Tree,dfs and similar;graphs;greedy;implementation;sortings;trees,1918,F
2200,ace5 and Task Order,constructive algorithms;divide and conquer;implementation;interactive;probabilities;sortings,1918,E
1900,Blocking Elements,binary search;data structures;dp;implementation;two pointers,1918,D
1400,XOR-distance,bitmasks;greedy;implementation;math,1918,C
900,Minimize Inversions,constructive algorithms;data structures;greedy;implementation;sortings,1918,B
800,Brick Wall,constructive algorithms;greedy;implementation;math,1918,A
2500,Construct Tree,bitmasks;constructive algorithms;dp;trees,1917,F
2500,Construct Matrix,constructive algorithms;math,1917,E
2300,Yet Another Inversions Problem,combinatorics;data structures;dp;implementation;math;number theory,1917,D
1600,Watering an Array,brute force;greedy;implementation;math,1917,C
1100,Erase First or Second Letter,brute force;combinatorics;data structures;dp;strings,1917,B
800,Least Product,constructive algorithms;math,1917,A
2700,Matrix Rank (Hard Version),combinatorics;dp;math;matrices;string suffix structures,1916,H2
2700,Matrix Rank (Easy Version),brute force;combinatorics;dp;math;matrices,1916,H1
3500,Optimizations From Chelsu,divide and conquer;dp;number theory;trees,1916,G
2900,Group Division,constructive algorithms;dfs and similar;graphs;greedy,1916,F
2300,Happy Life in University,data structures;dfs and similar;greedy;trees,1916,E
1700,Mathematical Problem,brute force;constructive algorithms;geometry;math,1916,D
1200,Training Before the Olympiad,constructive algorithms;games;greedy;implementation;math,1916,C
1000,Two Divisors,constructive algorithms;math;number theory,1916,B
800,2023,constructive algorithms;implementation;math;number theory,1916,A
1800,Bicycles,graphs;greedy;implementation;shortest paths;sortings,1915,G
1500,Greetings,data structures;divide and conquer;sortings,1915,F
1300,Romantic Glasses,data structures;greedy;math,1915,E
900,Unnatural Language Processing,greedy;implementation;strings,1915,D
800,Can I Square?,binary search;implementation,1915,C
800,Not Quite Latin Square,bitmasks;brute force;implementation,1915,B
800,Odd One Out,bitmasks;implementation,1915,A
2300,Light Bulbs (Hard Version),combinatorics;data structures;dfs and similar;dp;graphs;hashing,1914,G2
2100,Light Bulbs (Easy Version),brute force;combinatorics;dfs and similar;dp;dsu;graphs;math;trees,1914,G1
1900,Programming Competition,dfs and similar;dp;graph matchings;greedy;trees,1914,F
1400,Game with Marbles (Hard Version),games;greedy;sortings,1914,E2
1400,Game with Marbles (Easy Version),brute force;games;greedy;sortings,1914,E1
1200,Three Activities,brute force;dp;greedy;implementation;sortings,1914,D
1100,Quests,greedy;math,1914,C
800,Preparing for the Contest,constructive algorithms;math,1914,B
800,Problemsolving Log,implementation;strings,1914,A
2800,Palindromic Problem,binary search;data structures;hashing;string suffix structures;strings,1913,F
2400,Matrix Problem,flows;graphs,1913,E
2100,Array Collapse,data structures;divide and conquer;dp;trees,1913,D
1300,Game with Multiset,binary search;bitmasks;brute force;greedy,1913,C
1000,Swap and Delete,strings,1913,B
800,Rating Increase,implementation,1913,A
800,LOL Lovers,strings,1912,L
1800,Kim's Quest,bitmasks;combinatorics;dp,1912,K
2300,Joy of Pokémon Observation,,1912,J
3300,Innovative Washing Machine,geometry;math;two pointers,1912,I
2400,Hypercatapult Commute,graphs,1912,H
2400,Great City Saint Petersburg,data structures,1912,G
3100,Fugitive Frenzy,math;probabilities,1912,F
2200,Evaluate It and Back Again,constructive algorithms;implementation;math,1912,E
1900,Divisibility Test,math,1912,D
3300,Cactus Transformation,constructive algorithms,1912,C
2100,Blueprint for Seating,combinatorics;divide and conquer;math,1912,B
1900,Accumulator Apex,data structures;implementation;sortings,1912,A
2900,Two Colors,*special,1910,J
2700,Inverse Problem,*special;combinatorics;dp,1910,I
2400,Sum of Digits of Sums,*special;binary search;data structures,1910,H
2700,Pool Records,*special;greedy,1910,G
2000,Build Railway Stations,*special;greedy;trees,1910,F
2100,Maximum Sum Subarrays,*special;dp,1910,E
1800,Remove and Add,*special;greedy,1910,D
1600,Poisonous Swamp,*special;*special;implementation;implementation,1910,C
1600,Security Guard,*special;greedy,1910,B
1100,Username,*special;implementation,1910,A
1900,Short Permutation Problem,combinatorics;dp;fft;math,1909,I
3500,Parallel Swaps Sort,constructive algorithms;data structures,1909,H
3000,Pumping Lemma,hashing;strings,1909,G
2500,Small Permutation Problem (Hard Version),combinatorics;dp;math,1909,F2
2200,Small Permutation Problem (Easy Version),brute force;combinatorics;dp;math,1909,F1
2400,Multiple Lamps,bitmasks;brute force;constructive algorithms;math;number theory,1909,E
1900,Split Plus K,greedy;math;number theory,1909,D
1400,Heavy Intervals,constructive algorithms;data structures;dsu;greedy;math;sortings,1909,C
1200,Make Almost Equal With Mod,bitmasks;constructive algorithms;math;number theory,1909,B
800,Distinct Buttons,implementation;math,1909,A
2200,Lights,brute force;constructive algorithms;dfs and similar;graphs;greedy;implementation,1907,G
1800,Shift and Reverse,greedy;sortings,1907,F
1600,Good Triples,brute force;combinatorics;number theory,1907,E
1400,Jumping Through Segments,binary search;constructive algorithms,1907,D
1200,Removal of Unattractive Pairs,constructive algorithms;greedy;math;strings,1907,C
1000,YetnotherrokenKeoard,data structures;implementation;strings,1907,B
800,Rook,implementation,1907,A
1700,Triangle Construction,greedy;math,1906,M
2500,Palindromic Parentheses,constructive algorithms,1906,L
2500,Deck-Building Game,divide and conquer;math,1906,K
2100,Count BFS Graph,combinatorics;dp,1906,J
2900,Contingency Plan 2,graph matchings,1906,I
2200,Twin Friends,combinatorics;dp,1906,H
2900,Grid Game 2,games;number theory,1906,G
2100,Maximize The Value,data structures;sortings,1906,F
1900,Merge Not Sort,constructive algorithms;dp,1906,E
2800,Spaceship Exploration,binary search;geometry,1906,D
3000,Cursed Game,interactive,1906,C
2600,Button Pressing,bitmasks;constructive algorithms;hashing,1906,B
1000,Easy As ABC,brute force,1906,A
2600,Field Should Not Be Empty,brute force;data structures;divide and conquer,1905,F
2400,One-X,combinatorics;dfs and similar;dp;math;trees,1905,E
2000,Cyclic MEX,data structures;implementation;math;two pointers,1905,D
1400,Largest Subsequence,greedy;strings,1905,C
1100,Begginer's Zelda,greedy;trees,1905,B
800,Constructive Problems,constructive algorithms;math,1905,A
2800,Beautiful Tree,data structures;dfs and similar;graphs;implementation;trees,1904,F
2500,Tree Queries,data structures;dfs and similar;graphs;implementation;trees,1904,E
